0x00200008, _start - Clears the uninitialized data region, initializes EE runtime services, runs main, and passes its result to Exit
0x002000B8, _exit - Loops indefinitely as the terminal fallback reached after program shutdown
0x00200730, iEnableDmacHandler - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFA2 for the i enable DMA-controller handler operation
0x00200740, DisableDmacHandler - Dispatches PS2 kernel syscall 0x5F for the disable DMA-controller handler operation
0x00200750, iDisableDmacHandler - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFA1 for the i disable DMA-controller handler operation
0x00200760, KSeg0 - Dispatches PS2 kernel syscall 0x60 for the k seg 0 operation
0x00200770, EnableCache - Dispatches PS2 kernel syscall 0x61 for the enable cache operation
0x00200780, DisableCache - Dispatches PS2 kernel syscall 0x62 for the disable cache operation
0x00200790, GetCop0 - Dispatches PS2 kernel syscall 99 for the get cop 0 operation
0x002007A0, FlushCache - Dispatches PS2 kernel syscall 100 for the flush cache operation
0x002007B0, CpuConfig - Dispatches PS2 kernel syscall 0x66 for the cpu config operation
0x002007C0, iGetCop0 - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFF99 for the i get cop 0 operation
0x002007D0, iFlushCache - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFF98 for the i flush cache operation
0x002007E0, iCpuConfig - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFF96 for the i cpu config operation
0x002007F0, sceSifStopDma - Dispatches PS2 kernel syscall 0x6B for the SIF stop DMA operation
0x00200800, SetCPUTimerHandler - Dispatches PS2 kernel syscall 0x6C for the set cpu timer handler operation
0x00200810, SetCPUTimer - Dispatches PS2 kernel syscall 0x6D for the set cpu timer operation
0x00200820, SetOsdConfigParam2 - Dispatches PS2 kernel syscall 0x6E for the set OSD config parameters 2 operation
0x00200830, GetOsdConfigParam2 - Dispatches PS2 kernel syscall 0x6F for the get OSD config parameters 2 operation
0x00200840, GsGetIMR - Dispatches PS2 kernel syscall 0x70 for the GS get imr operation
0x00200850, iGsGetIMR - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFF90 for the i GS get imr operation
0x00200860, GsPutIMR - Dispatches PS2 kernel syscall 0x71 for the GS put imr operation
0x00200870, iGsPutIMR - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFF8F for the i GS put imr operation
0x00200880, SetPgifHandler - Dispatches PS2 kernel syscall 0x72 for the set pgif handler operation
0x00200890, SetVSyncFlag - Dispatches PS2 kernel syscall 0x73 for the set v sync flag operation
0x002008A0, RFU116 - Dispatches reserved PS2 kernel syscall 0x74 for its corresponding SDK operation
0x002008B0, _print - Dispatches PS2 kernel syscall 0x75 for the print operation
0x002008C0, sceSifDmaStat - Dispatches PS2 kernel syscall 0x76 for the SIF DMA stat operation
0x002008D0, isceSifDmaStat - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFF8A for the isce SIF DMA stat operation
0x002008E0, sceSifSetDma - Dispatches PS2 kernel syscall 0x77 for the SIF set DMA operation
0x002008F0, isceSifSetDma - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFF89 for the isce SIF set DMA operation
0x00200900, sceSifSetDChain - Dispatches PS2 kernel syscall 0x78 for the SIF set d chain operation
0x00200910, isceSifSetDChain - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFF88 for the isce SIF set d chain operation
0x00200920, sceSifSetReg - Dispatches PS2 kernel syscall 0x79 for the SIF set reg operation
0x00200930, sceSifGetReg - Dispatches PS2 kernel syscall 0x7A for the SIF get reg operation
0x00200940, _ExecOSD - Dispatches PS2 kernel syscall 0x7B for the exec OSD operation
0x00200950, Deci2Call - Dispatches PS2 kernel syscall 0x7C for the deci 2 call operation
0x00200960, PSMode - Dispatches PS2 kernel syscall 0x7D for the ps mode operation
0x00200970, MachineType - Dispatches PS2 kernel syscall 0x7E for the machine type operation
0x00200980, GetMemorySize - Dispatches PS2 kernel syscall 0x7F for the get memory size operation
0x00200990, _InitTLB - Dispatches PS2 kernel syscall 0x82 for the init TLB operation
0x002009A0, sceResetttyinit - Clears the global ttyinit flag so the next terminal operation reinitializes the TTY service
0x002009B0, VSync - Atomically reads and clears the vertical-sync flag, waiting for its next transition when requested
0x00200A40, VSync2 - Uses SetVSyncFlag to wait for or sample vertical synchronization while preserving interrupt state
0x00200AE8, write - Initializes the TTY service and writes the supplied byte range through sceTtyWrite
0x00200B68, read - Initializes the TTY service and reads bytes into the supplied buffer through sceTtyRead
0x00200BE0, open - Sets errno to I/O error and rejects unsupported file-open requests with a negative result
0x00200C08, close - Rejects unsupported file-close requests by returning a fixed negative result
0x00200C10, ioctl - Rejects unsupported device-control requests by returning a fixed negative result
0x00200C18, lseek - Rejects unsupported file-seek requests by returning a fixed negative result
0x00200C20, sbrk - Advances heap_ptr by the requested delta, returning its old value or setting ENOMEM when exceeding EndOfHeap
0x00200CD0, isatty - Reports every descriptor as a terminal device through its fixed positive result
0x00200CD8, fstat - Initializes the supplied stat record as a character device and reports success
0x00200CF0, getpid - Returns process identifier one as the runtime process identity
0x00200CF8, kill - Exits when signaling process one, otherwise reports successful signal handling
0x00200D20, stat - Sets errno to I/O error and rejects unsupported file-status requests
0x00200D48, unlink - Sets errno to I/O error and rejects unsupported file-removal requests
0x00200D70, _sceSDC - Scans every data-cache way and writes back lines whose tags fall within the requested address range
0x00200E18, SyncDCache - Aligns the address range and writes back matching data-cache lines while preserving interrupt enablement
0x00200E98, iSyncDCache - Aligns both range endpoints to cache lines and writes back matching data-cache entries without masking interrupts
0x00200EB0, _sceIDC - Scans every data-cache way and invalidates lines whose tags fall within the requested address range
0x00200F58, InvalidDCache - Aligns both range endpoints to cache lines and invalidates them while preserving the interrupt-enable state
0x00200FD8, iInvalidDCache - Aligns both addresses down to 64-byte boundaries before invalidating the requested data-cache range
0x00200FF0, DisableIntc - Preserves the caller's interrupt-enable state, disables interrupts around _DisableIntc, synchronizes, conditionally re-enables interrupts, and returns the syscall result
0x00201058, EnableIntc - Tests `uVar2 != 0`; computes `uVar2 = Status & 0x10000` and `uVar1 = _EnableIntc(param_1)`; invokes `DIntr()` and `uVar1 = _EnableIntc(param_1)`; returns `uVar1`
0x002010C0, DisableDmac - Tests `uVar2 != 0`; computes `uVar2 = Status & 0x10000` and `uVar1 = _DisableDmac(param_1)`; invokes `DIntr()` and `uVar1 = _DisableDmac(param_1)`; returns `uVar1`
0x00201128, EnableDmac - Preserves the caller's interrupt-enable state, disables interrupts around _EnableDmac, synchronizes, conditionally re-enables interrupts, and returns the syscall result
0x00201190, iEnableIntc - Enables the specified interrupt-controller source through the interrupt-safe kernel syscall and returns its status
0x002011B0, iDisableIntc - Disables the specified interrupt-controller source through the interrupt-safe kernel syscall and returns its status
0x002011D0, iEnableDmac - Enables the specified DMA interrupt source through the interrupt-safe kernel syscall and returns its status
0x002011F0, iDisableDmac - Disables the specified DMA interrupt source through the interrupt-safe kernel syscall and returns its status
0x00201210, setup - Dispatches PS2 kernel syscall 0x74 for the setup operation
0x00201220, Copy - Dispatches PS2 kernel syscall 0x5A for the copy operation
0x00201230, kCopy - Copies length divided by four 32-bit words from source to destination and returns zero
0x00201268, GetEntryAddress - Dispatches PS2 kernel syscall 0x5B for the get entry address operation
0x00201278, InitAlarm - If RCNT3 is not enabled, installs the alarm syscall hooks, copies 0x740 bytes to KSEG0 and 0x28 bytes to 0x82000, flushes caches, and resolves six kernel entries
0x00201350, topThread - Consumes queued scheduler commands, waking, rotating, or suspending the encoded thread according to each command byte
0x00201428, InitThread - Creates the top-thread semaphore and a 0x400-byte-stack worker, starts it with topArg, raises the caller to priority 1, and returns the thread ID or -1
0x00201500, iWakeupThread - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFD1 for the i wakeup thread operation
0x00201598, iRotateThreadReadyQueue - Enqueues a priority below 128 for ready-queue rotation, signals topSema, or returns minus one when unavailable
0x00201618, iSuspendThread - Dispatches PS2 kernel syscall 0xFFFFFFFFFFFFFFD1 for the i suspend thread operation
0x002016B0, sceDeci2Open - Packs protocol, callback, and option fields for Deci2Call command zero and returns the assigned channel identifier
0x002016F8, sceDeci2Close - Packs the channel identifier for Deci2Call command one and returns the close operation status
0x00201720, sceDeci2ReqSend - Packs the channel identifier for Deci2Call command two and requests transmission of queued data
0x00201750, sceDeci2Poll - Invokes Deci2Call command three with no parameter block to service pending debugger traffic
0x00201778, sceDeci2ExRecv - Packs two receive pointers and a 16-bit length for Deci2Call command minus five
0x002017B0, sceDeci2ExSend - Packs two send pointers and a 16-bit length for Deci2Call command minus four
0x002017E8, sceDeci2ExReqSend - Packs the extended channel identifier for Deci2Call command minus three and requests transmission
0x00201818, sceDeci2ExLock - Packs the extended channel identifier for Deci2Call command minus two and acquires its lock
0x00201840, sceDeci2ExUnLock - Packs the extended channel identifier for Deci2Call command minus one and releases its lock
0x00201868, kputs - Sends the NUL-terminated kernel string through Deci2Call command four and returns the service status
0x00201890, QueueInit - Stores the queue capacity, clears its count, and points both read and write cursors at the static buffer
0x002018B8, QueuePeekWriteDone - Advances the queue write cursor and count, wrapping the cursor when it reaches the buffer end
0x002018F8, QueuePeekReadDone - Advances the queue read cursor, decrements queued count, and wraps at the buffer end
0x00201938, sceTtyHandler - Handles DECI2 TTY receive, send, and close events, moving packet bytes through the write queue and updating buffered byte counts
0x00201AD0, sceTtyWrite - Copies bytes into the TTY transmit ring, requests DECI2 sending, and returns the number accepted
0x00201C20, sceTtyRead - Copies available bytes from the TTY receive ring into the caller buffer and advances its read cursor
0x00201CF0, sceTtyInit - Flushes cache, opens DECI2 protocol 0x210 with sceTtyHandler, seeds its transmit and receive packet headers and buffers, creates a 0x100-byte queue, and reports open success
0x00201DB0, kputchar - Transforms kputchar runtime data using indexed table traversal and field selection
0x00201DE8, deci2Putchar - Buffers characters until newline or 126 bytes, terminates the line, then sends it through kputs
0x00201E98, serialPutchar - Emits carriage return before each newline, otherwise writes the character directly through kputchar
0x00201ED0, ftoi - Converts a double's magnitude bits to an integer with low-range rounding, returning 0 for underflow and saturating exponents above the supported range to 9999
0x00201F60, printfloat - Normalizes a double to decimal scientific notation, prints six fractional digits, then emits its signed exponent
0x002020C8, _printf - Formats kernel output values and emits the resulting characters through the serial console
0x00202690, kprintf - Selects serialPutchar as the output sink and formats the supplied variadic diagnostic with _printf
0x002026C8, scePrintf - Selects deci2Putchar as the output sink and formats the supplied variadic diagnostic with _printf
0x00202728, _set_sreg - Stores `*(undefined4 *)(*(int *)(param_1 + 0x10) * 4 + *(int *)(param_2 + 0x1c)) = *(undefined4 *)(param_1 + 0x14)`
0x00202748, _change_addr - Stores `*(undefined4 *)(param_2 + 8) = *(undefined4 *)(param_1 + 0x10)`
0x00202758, sceSifGetSreg - Returns `*(undefined4 *)(&soft_reg + param_1 * 4)`
0x00202770, sceSifSetSreg - Stores the supplied value in the indexed SIF software register and returns that value
0x00202790, sceSifGetDataTable - Returns `&_data_table`
0x002027A0, sceSifInitCmd - Initializes SIF command tables and packet buffers once, installs the SIF0 DMA handler, negotiates shared registers with IOP, and exchanges the initialization commands
0x00202A20, sceSifExitCmd - Invokes DisableDmac and RemoveDmacHandler to tear down SIF cmd resources and clears their dependent handles and state fields
0x00202A58, sceSifSetCmdBuffer - Stores `DAT_009918f0 = param_2` and `DAT_009918ec = param_1`; returns `uVar1`
0x00202A70, sceSifSetSysCmdBuffer - Stores `DAT_009918e8 = param_2` and `DAT_009918e4 = param_1`; returns `uVar1`
0x00202A88, sceSifAddCmdHandler - Stores `puVar1[1] = param_3` and `*puVar1 = param_2`; when `param_1 < 0`
0x00202AB8, sceSifRemoveCmdHandler - Releases SIF cmd handler records and clears their active ownership or status fields
0x00202AE0, _sceSifSendCmd - Builds a SIF command header and DMA descriptors, optionally writes back caches, and returns the DMA transfer identifier
0x00202C18, sceSifSendCmd - Sends a SIF command through _sceSifSendCmd with cache writeback and normal interrupt handling enabled
0x00202C58, isceSifSendCmd - Sends a SIF command through _sceSifSendCmd without normal cache or interrupt preparation
0x00202C98, _sceSifCmdIntrHdlr - Copies the inbound SIF packet, restarts the DMA chain, and dispatches its indexed system or user handler
0x00202DC0, sceSifWriteBackDCache - Transfers SIF back d cache between caller buffers and updates its completion state
0x00202E70, sceSifInitRpc - Initializes command transport once, configures RPC packet pools, registers end, bind, call, and other-data handlers, and performs the IOP RPC-ready handshake
0x00203010, sceSifExitRpc - Shuts down the shared SIF command transport used by RPC and clears its initialization state
0x00203038, _sceRpcGetPacket - Claims the first inactive 64-byte RPC packet under interrupt exclusion, assigns identifiers, or returns null
0x002030E0, _sceRpcFreePacket - Clears packet ownership, activity, and dependent runtime fields
0x00203100, _sceRpcGetFPacket - Returns `*(int *)(param_1 + 0x14) + iVar1 * 0x40`; after testing `*(int *)(param_1 + 0x18) == 0`
0x00203130, _sceRpcGetFPacket2 - Returns the indexed fast-packet slot when valid, otherwise allocates the next rotating fast packet
0x00203170, _request_end - Invokes iSignalSema and _sceRpcFreePacket to tear down request resources and clears their dependent handles and state fields
0x00203228, _request_rdata - Builds an RPC receive-data packet from request fields and sends SIF command 0x80000008
0x00203288, sceSifGetOtherData - Allocates an RPC packet, requests remote data synchronously or asynchronously, and returns distinct allocation, semaphore, or send errors
0x002033E0, _search_svdata - Returns `piVar2` and `(int *)0x0`; after testing `iVar3 != 0` and `piVar2 == (int *)0x0` and `iVar1 == param_1`
0x00203430, _request_bind - Tests `lVar3 == 0`; stores `*(undefined4 *)(iVar5 + 0x1c) = *(undefined4 *)(param_1 + 0x1c)` and `*(undefined4 *)(iVar5 + 0x14) = uVar1` and `*(undefined4 *)(iVar5 + 0x20) = 0x80000009`; invokes `uVar2 = _sceRpcGetFPacket(param_2)` and `lVar3 = _search_svdata(*(undefined4 *)(param_1 + 0x20),param_2)`
0x002034E0, sceSifBindRpc - Tests `lVar3 != 0` and `(param_3 & 1) == 0` and `lVar4 < 0`; stores `param_1[4] = 0` and `param_1[9] = 0` and `*param_1 = iVar5`; invokes `lVar3 = _sceRpcGetPacket(0x993280)` and `lVar4 = CreateSema(auStack_70)`; returns `uVar2`
0x00203620, _request_call - Appends a decoded RPC request to its server queue, copies call metadata, and wakes an idle server thread
0x002036B0, sceSifCallRpc - Allocates and fills an RPC call packet, writes back transfer buffers, submits it, and optionally waits synchronously
0x002038A0, sceSifCheckStatRpc - Returns one only while the client packet identifier matches an allocated active RPC packet
0x002038E0, sceSifSetRpcQueue - Initializes a six-word RPC queue node and appends it to the global queue list while interrupts are disabled
0x00203978, sceSifRegisterRpc - Initializes an RPC server descriptor and appends it to the queue's server list with interrupts disabled
0x00203A48, sceSifRemoveRpc - Invokes DIntr and EIntr to tear down SIF RPC resources and clears their dependent handles and state fields
0x00203AE0, sceSifRemoveRpcQueue - Invokes DIntr and EIntr to tear down SIF RPC queue resources and clears their dependent handles and state fields
0x00203B70, sceSifGetNextRequest - Removes and returns the head request from an RPC queue while atomically updating its pending flag
0x00203BC8, sceSifExecRequest - Calls the registered RPC service, writes back input and result caches, builds an end-command packet, and returns it by DMA or SIF command 0x80000008
0x00203D90, sceSifRpcLoop - Repeatedly dequeues RPC requests, executes each server callback, completes the request, then sleeps when empty
0x00203DD0, _sceFsIobSemaMK - Lazily creates the filesystem descriptor semaphore and returns zero or the kernel creation error
0x00203E30, new_iob - Locks the descriptor table, marks the first free entry active, unlocks it, and returns its index
0x00203EB8, get_iob - Validates and locks an active filesystem descriptor entry, returning its record or null for invalid handles
0x00203F28, _sceFs_Rcv_Intr - Stores the filesystem RPC completion value and signals the waiting semaphore from interrupt context
0x002042E8, _sceFsSemInit - Creates the filesystem semaphore with initial and maximum count 1 only when _fs_semid is still -1
0x00204338, _sceFsWaitS - Initializes the filesystem semaphore when necessary, then waits on it unless the operation is asynchronous
0x00204368, _sceFsSigSema - Signals the filesystem synchronization semaphore and returns the kernel semaphore operation status
0x00204378, scePowerOffHandler - Locks filesystem command 0x1B, initializes FS if needed, atomically replaces the power-off callback data pair, signals the FS semaphore, and returns the previous data pointer
0x00204408, _sceFs_Poff_Intr - Sets the filesystem power-off request flag when the incoming SIF command value equals one
0x00204438, sceFsInit - Starts SIF RPC, installs filesystem power-off handlers, binds server 0x80000001, clears local I/O descriptors, queries the server version, and marks FS initialized
0x00204600, _fs_version - Queries filesystem RPC version once, validates its signature, and caches whether extended commands are supported
0x00204690, sceFsReset - Zeroes the complete filesystem I/O descriptor table and returns the cleared table base
0x002046C8, sceOpen - Initializes filesystem RPC state, opens the requested path, and records its IOP descriptor
0x00204950, sceClose - Waits for filesystem RPC completion, closes the selected IOP descriptor, and releases its table entry
0x00204AD0, sceLseek - Locks the file record, submits RPC seek command three with descriptor, offset, and whence, then unlocks it
0x00204D08, sceRead - Reads bytes from the selected IOP file descriptor after synchronizing filesystem RPC state
0x00204F78, sceWrite - Writes bytes to the selected IOP file descriptor after synchronizing filesystem RPC state
0x00205238, sceIoctl - Locks the file record, marshals descriptor, command, and argument into the RPC buffer, then returns the IOP status
0x00205588, sceIoctl2 - Marshals descriptor, command, input, and output buffers for extended ioctl RPC and returns the IOP status
0x00205768, _sceCallCode - Initializes filesystem RPC, submits a path-based command selector, waits for completion, and returns the IOP result
0x00205910, sceRemove - Dispatches the filesystem remove operation through _sceCallCode using its fixed RPC selector
0x00205930, sceMkdir - Copies the pathname and mode into the filesystem RPC buffer, submits mkdir, and returns its IOP result
